country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0,0,0,0.0,AS
Bahrain,42,63,7,2.0,AS
Bangladesh,0,0,0,0.0,AS
Bhutan,23,0,0,0.4,AS
Brunei,31,2,1,0.6,AS
Cambodia,57,65,1,2.2,AS
China,79,192,8,5.0,AS
North Korea,0,0,0,0.0,AS
India,9,114,0,2.2,AS
Indonesia,5,1,0,0.1,AS
Iran,0,0,0,0.0,AS
Iraq,9,3,0,0.2,AS
Israel,63,69,9,2.5,AS
Japan,77,202,16,7.0,AS
Jordan,6,21,1,0.5,AS
Kazakhstan,124,246,12,6.8,AS
Kuwait,0,0,0,0.0,AS
Kyrgyzstan,31,97,6,2.4,AS
Laos,62,0,123,6.2,AS
Lebanon,20,55,31,1.9,AS
Malaysia,13,4,0,0.3,AS
Maldives,0,0,0,0.0,AS
Mongolia,77,189,8,4.9,AS
Myanmar,5,1,0,0.1,AS
Nepal,5,6,0,0.2,AS
Oman,22,16,1,0.7,AS
Pakistan,0,0,0,0.0,AS
Philippines,71,186,1,4.6,AS
Qatar,1,42,7,0.9,AS
South Korea,140,16,9,9.8,AS
Russian Federation,247,326,73,11.5,AS
Saudi Arabia,0,5,0,0.1,AS
Singapore,60,12,11,1.5,AS
Sri Lanka,16,104,0,2.2,AS
Syria,5,35,16,1.0,AS
Tajikistan,2,15,0,0.3,AS
Thailand,99,258,1,6.4,AS
Timor-Leste,1,1,4,0.1,AS
Turkey,51,22,7,1.4,AS
Turkmenistan,19,71,32,2.2,AS
United Arab Emirates,16,135,5,2.8,AS
Uzbekistan,25,101,8,2.4,AS
Vietnam,111,2,1,2.0,AS
Yemen,6,0,0,0.1,AS
